id;nom;n;k;amax;Run;nbLevel;graine;ite0;score0;CPU0;start;ite;score;CPU;
8;segmentation;2100;10;210;81;10;12624;22;9514845.82154204;0.130008;0;22;9514845.82154204;0.130008;
8;segmentation;2100;10;210;82;10;24085;18;9298358.28147841;0.106006;0;18;9298358.28147841;0.106006;
8;segmentation;2100;10;210;83;10;19955;38;10322601.6055621;0.217012;0;38;10322601.6055621;0.217012;
8;segmentation;2100;10;210;84;10;18757;35;9706036.63987788;0.198011;0;35;9706036.63987788;0.198011;
8;segmentation;2100;10;210;85;10;11841;14;9588043.16542471;0.0720041;0;14;9588043.16542471;0.0720041;
8;segmentation;2100;10;210;86;10;4967;27;9751003.57229256;0.159009;0;27;9751003.57229256;0.159009;
8;segmentation;2100;10;210;87;10;7377;13;10022647.716578;0.0760044;0;13;10022647.716578;0.0760044;
8;segmentation;2100;10;210;88;10;13932;21;10223031.8360996;0.118007;0;21;10223031.8360996;0.118007;
8;segmentation;2100;10;210;89;10;26309;38;8972542.14125557;0.215012;0;38;8972542.14125557;0.215012;
8;segmentation;2100;10;210;90;10;16945;24;10288574.1103419;0.146008;0;24;10288574.1103419;0.146008;
8;segmentation;2100;10;210;91;10;32440;17;9100760.15976989;0.105006;0;17;9100760.15976989;0.105006;
8;segmentation;2100;10;210;92;10;24627;26;9764470.32193289;0.142008;0;26;9764470.32193289;0.142008;
8;segmentation;2100;10;210;93;10;11324;17;9478891.36951623;0.0970055;0;17;9478891.36951623;0.0970055;
8;segmentation;2100;10;210;94;10;5538;19;9522406.51727268;0.113006;0;19;9522406.51727268;0.113006;
8;segmentation;2100;10;210;95;10;21539;21;9511126.38766432;0.110006;0;21;9511126.38766432;0.110006;
8;segmentation;2100;10;210;96;10;16119;21;9658379.09803252;0.119007;0;21;9658379.09803252;0.119007;
8;segmentation;2100;10;210;97;10;2083;34;10018756.9850631;0.185011;0;34;10018756.9850631;0.185011;
8;segmentation;2100;10;210;98;10;22930;36;10224565.7943981;0.200011;0;36;10224565.7943981;0.200011;
8;segmentation;2100;10;210;99;10;16542;18;10511787.6652886;0.104006;0;18;10511787.6652886;0.104006;
8;segmentation;2100;10;210;0;10;42;16;10207243.8305985;0.0890051;1;20;10181226.6027373;0.0970055;
8;segmentation;2100;10;210;1;10;18468;26;10098226.3346556;0.140008;1;31;9762068.14388419;0.153009;
8;segmentation;2100;10;210;2;10;6335;27;9025832.00088517;0.134008;1;21;9053154.07382316;0.100006;
8;segmentation;2100;10;210;3;10;26501;39;9704915.55125135;0.218013;1;41;9698699.08545863;0.209012;
8;segmentation;2100;10;210;4;10;19170;18;9094993.39044007;0.104006;1;33;9698655.52527627;0.17001;
8;segmentation;2100;10;210;5;10;15725;21;10444909.9287388;0.119007;1;24;9713295.4034348;0.116007;
8;segmentation;2100;10;210;6;10;11479;18;9821339.57587457;0.110006;1;20;9821274.42741262;0.110006;
8;segmentation;2100;10;210;7;10;29359;11;10097392.3736362;0.0640037;1;20;10098286.4403982;0.114007;
8;segmentation;2100;10;210;8;10;26963;41;9634255.63263913;0.232013;1;35;9159813.30479978;0.17901;
8;segmentation;2100;10;210;9;10;24465;26;9919002.96336275;0.141008;1;25;10113936.8686267;0.129007;
8;segmentation;2100;10;210;10;10;5706;17;10181218.2504407;0.0930053;1;37;9551127.65199908;0.184011;
8;segmentation;2100;10;210;11;10;28146;24;9752113.53718478;0.144008;1;27;9597848.99867694;0.142008;
8;segmentation;2100;10;210;12;10;23282;19;9482005.84639824;0.113007;1;28;10181398.2351759;0.141008;
8;segmentation;2100;10;210;13;10;16828;20;9718748.8552532;0.134008;1;17;9610122.10100914;0.0960054;
8;segmentation;2100;10;210;14;10;9962;19;9446392.86054857;0.109006;1;30;9517661.99933607;0.148009;
8;segmentation;2100;10;210;15;10;492;15;9793733.03069401;0.0820047;1;18;9793776.34445263;0.0990056;
8;segmentation;2100;10;210;16;10;2996;21;10104533.4839298;0.116007;1;19;10243806.9749592;0.0920053;
8;segmentation;2100;10;210;17;10;11943;35;9732566.72349789;0.195011;1;42;9719309.77245174;0.208012;
8;segmentation;2100;10;210;18;10;4828;22;10089539.7153819;0.121007;1;28;10089429.0694755;0.134008;
8;segmentation;2100;10;210;19;10;5437;61;9605471.27202103;0.315018;1;34;9629855.19509734;0.16701;
8;segmentation;2100;10;210;20;10;32392;35;9607430.02094344;0.17501;1;30;9607485.27966362;0.147008;
8;segmentation;2100;10;210;21;10;14605;44;9587650.92613451;0.253014;1;37;9748266.83334656;0.187011;
8;segmentation;2100;10;210;22;10;3903;19;9437589.53755761;0.115007;1;15;9709061.05505447;0.0790044;
8;segmentation;2100;10;210;23;10;154;22;9634823.45246157;0.123007;1;45;10231916.9492483;0.233013;
8;segmentation;2100;10;210;24;10;293;16;10088327.27148;0.0940053;1;23;10268909.5753087;0.109006;
8;segmentation;2100;10;210;25;10;12383;35;10190131.3997313;0.194011;1;30;10098482.9325836;0.148008;
8;segmentation;2100;10;210;26;10;17422;29;10018282.6727799;0.159009;1;30;9834720.77489953;0.148009;
8;segmentation;2100;10;210;27;10;18717;26;10088756.9760225;0.155009;1;42;10104534.0809256;0.211012;
8;segmentation;2100;10;210;28;10;19719;11;10442856.759695;0.0660038;1;17;10296369.7173347;0.0910052;
8;segmentation;2100;10;210;29;10;19896;18;10089547.3670331;0.102006;1;33;9549985.4586198;0.16701;
8;segmentation;2100;10;210;30;10;5448;27;9509398.58726231;0.157009;1;22;9527142.23300124;0.116007;
8;segmentation;2100;10;210;31;10;21727;24;9602689.12256734;0.132008;1;20;9608887.68851304;0.101006;
8;segmentation;2100;10;210;32;10;14772;16;9453762.13541364;0.0960055;1;38;10049021.6224939;0.188011;
8;segmentation;2100;10;210;33;10;11539;19;10089547.3670332;0.109006;1;23;10089652.0779321;0.116007;
8;segmentation;2100;10;210;34;10;1870;31;9602866.58124081;0.18301;1;30;9602758.07571703;0.149009;
8;segmentation;2100;10;210;35;10;19913;16;10089470.6449524;0.0950054;1;37;10225712.4326797;0.191011;
8;segmentation;2100;10;210;36;10;25668;21;9626729.98446341;0.116007;1;27;10219321.5311085;0.145008;
8;segmentation;2100;10;210;37;10;26300;28;9869298.37939344;0.153009;1;26;9877532.96757474;0.135008;
8;segmentation;2100;10;210;38;10;17036;16;9514816.23477639;0.0970056;1;41;9022635.4278392;0.212012;
8;segmentation;2100;10;210;39;10;9895;35;10220134.261306;0.192011;1;23;10477730.1269291;0.115007;
8;segmentation;2100;10;210;40;10;28704;18;10448262.4812056;0.103006;1;26;10207260.7372632;0.141008;
8;segmentation;2100;10;210;41;10;23812;16;9472342.25023223;0.0930054;1;46;10403586.5222934;0.229013;
8;segmentation;2100;10;210;42;10;31323;27;9603725.02389281;0.156009;1;25;9809870.16689684;0.131008;
8;segmentation;2100;10;210;43;10;30334;21;9478724.98010021;0.116007;1;29;10219132.1819141;0.141008;
8;segmentation;2100;10;210;44;10;17674;38;10222461.4914402;0.210012;1;37;9553167.3305111;0.17901;
8;segmentation;2100;10;210;45;10;4665;17;9700548.30096197;0.101006;1;31;9698758.51495038;0.158009;
8;segmentation;2100;10;210;46;10;15142;23;9576600.58757182;0.138008;1;35;9479302.57552922;0.17601;
8;segmentation;2100;10;210;47;10;7712;21;10097313.4454113;0.118007;1;25;10181416.2692372;0.129007;
8;segmentation;2100;10;210;48;10;28254;23;10447793.4380794;0.129007;1;24;9698073.70193865;0.128007;
8;segmentation;2100;10;210;49;10;6869;19;9896122.61430935;0.120007;1;22;9896725.0517033;0.118007;
8;segmentation;2100;10;210;50;10;25548;27;9476231.66090619;0.149008;1;30;10243673.6136836;0.155009;
8;segmentation;2100;10;210;51;10;27645;16;10248474.6024181;0.0930053;1;25;9481531.30971709;0.120007;
8;segmentation;2100;10;210;52;10;32663;44;9546855.60629789;0.232013;1;20;9477583.73750673;0.108006;
8;segmentation;2100;10;210;53;10;32758;19;10270707.22469;0.116007;1;22;9698128.78139744;0.114007;
8;segmentation;2100;10;210;54;10;20038;24;10018016.89593;0.136008;1;21;9711909.77486034;0.116007;
8;segmentation;2100;10;210;55;10;12860;25;9706013.85666487;0.132008;1;33;9705980.32960622;0.161009;
8;segmentation;2100;10;210;56;10;8724;45;9137120.05780219;0.255015;1;58;9841735.1655727;0.293017;
8;segmentation;2100;10;210;57;10;9742;24;10088394.1056119;0.141008;1;29;10448209.5614574;0.149008;
8;segmentation;2100;10;210;58;10;27530;21;10088372.9876363;0.122007;1;38;10243818.6776341;0.190011;
8;segmentation;2100;10;210;59;10;779;14;10478319.6305878;0.0820047;1;31;10219223.5765059;0.154009;
8;segmentation;2100;10;210;60;10;12317;49;10220899.6578276;0.276016;1;20;10098194.0152005;0.105006;
8;segmentation;2100;10;210;61;10;3036;18;10351160.0593789;0.101006;1;40;10220315.902721;0.206012;
8;segmentation;2100;10;210;62;10;22191;14;10104178.9914499;0.0840048;1;23;10102977.9994962;0.116007;
8;segmentation;2100;10;210;63;10;1843;39;9551520.26818892;0.216012;1;29;9847084.79514502;0.155009;
