id;nom;n;k;amax;NbRun;nbLevel;ite0_moyenne;ite0_variance;score0_moyenne;score0_variance;CPU0_moyenne;CPU0_variance;start;ite_moyenne;ite_variance;score_moyenne;score_variance;CPU_moyenne;CPU_variance;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.228923;0.00375617;8;69.06;174.836;8828785.15206013;828839943044.549;0.322768;0.00354162;
8;segmentation;2100;20;210;100;9;26.35;66.3475;5307623.36377725;161202456638.557;0.228923;0.00375617;9;70.81;141.254;9035081.69782606;987408424978.7;0.324639;0.00243515;
8;segmentation;2100;30;210;100;8;26.87;59.1931;3603044.54985034;21420825364.0652;0.306268;0.00486808;0;26.87;59.1931;3603044.54985034;21420825364.0652;0.306268;0.00486808;
8;segmentation;2100;30;210;100;8;26.87;59.1931;3603044.54985034;21420825364.0652;0.306268;0.00486808;1;33.54;75.7284;3609861.51555312;15378732802.962;0.329159;0.00444393;
8;segmentation;2100;30;210;100;8;26.87;59.1931;3603044.54985034;21420825364.0652;0.306268;0.00486808;2;38.93;95.9251;3750668.24290333;25322029687.7281;0.34169;0.00424875;
8;segmentation;2100;30;210;100;8;26.87;59.1931;3603044.54985034;21420825364.0652;0.306268;0.00486808;3;45.14;98.6604;3999693.20056226;84676448715.7266;0.362051;0.00353565;
8;segmentation;2100;30;210;100;8;26.87;59.1931;3603044.54985034;21420825364.0652;0.306268;0.00486808;4;49.62;121.916;4340965.18103579;127118854352.192;0.369101;0.0045493;
8;segmentation;2100;30;210;100;8;26.87;59.1931;3603044.54985034;21420825364.0652;0.306268;0.00486808;5;56.08;143.934;4699870.22744404;145007768770.194;0.390812;0.00564351;
8;segmentation;2100;30;210;100;8;26.87;59.1931;3603044.54985034;21420825364.0652;0.306268;0.00486808;6;61.19;136.314;5270260.99113645;270199539230.974;0.399003;0.00398771;
8;segmentation;2100;30;210;100;8;26.87;59.1931;3603044.54985034;21420825364.0652;0.306268;0.00486808;7;64.06;144.176;5879795.24006069;380959740338.873;0.395723;0.00344285;
8;segmentation;2100;30;210;100;8;26.87;59.1931;3603044.54985034;21420825364.0652;0.306268;0.00486808;8;69.11;154.978;6008710.71348486;412831278216.206;0.422084;0.00484657;
8;segmentation;2100;40;210;100;7;26.01;64.0499;2902446.11246654;10347560650.6632;0.35691;0.00610302;0;26.01;64.0499;2902446.11246654;10347560650.6632;0.35691;0.00610302;
8;segmentation;2100;40;210;100;7;26.01;64.0499;2902446.11246654;10347560650.6632;0.35691;0.00610302;1;32.36;86.7504;2973821.88185347;16558041757.0581;0.374841;0.00571608;
8;segmentation;2100;40;210;100;7;26.01;64.0499;2902446.11246654;10347560650.6632;0.35691;0.00610302;2;39.46;79.1884;3093915.43279997;21264866366.905;0.406853;0.00439604;
8;segmentation;2100;40;210;100;7;26.01;64.0499;2902446.11246654;10347560650.6632;0.35691;0.00610302;3;46.59;98.1819;3296509.00554053;39436600773.4698;0.431315;0.00407819;
8;segmentation;2100;40;210;100;7;26.01;64.0499;2902446.11246654;10347560650.6632;0.35691;0.00610302;4;49.64;94.9104;3591028.4695585;92744089168.1212;0.433915;0.00432385;
8;segmentation;2100;40;210;100;7;26.01;64.0499;2902446.11246654;10347560650.6632;0.35691;0.00610302;5;54.52;112.35;3949224.12523831;153785764991.62;0.446976;0.00484914;
8;segmentation;2100;40;210;100;7;26.01;64.0499;2902446.11246654;10347560650.6632;0.35691;0.00610302;6;61.99;132.83;4441223.08129043;270974807939.137;0.470827;0.00475654;
8;segmentation;2100;40;210;100;7;26.01;64.0499;2902446.11246654;10347560650.6632;0.35691;0.00610302;7;63.74;128.332;4575828.5459335;288390666694.729;0.484028;0.00469956;
8;segmentation;2100;50;210;100;6;26.05;45.2275;2533924.30598441;8773218297.27656;0.423814;0.00549542;0;26.05;45.2275;2533924.30598441;8773218297.27656;0.423814;0.00549542;
8;segmentation;2100;50;210;100;6;26.05;45.2275;2533924.30598441;8773218297.27656;0.423814;0.00549542;1;33.58;68.8436;2598750.95943941;13776632747.0649;0.450266;0.00481513;
8;segmentation;2100;50;210;100;6;26.05;45.2275;2533924.30598441;8773218297.27656;0.423814;0.00549542;2;39.84;98.8944;2720887.46335609;34619781464.2964;0.475577;0.00637202;
8;segmentation;2100;50;210;100;6;26.05;45.2275;2533924.30598441;8773218297.27656;0.423814;0.00549542;3;48.31;104.714;2902471.84545453;59614000112.3084;0.51817;0.00680406;
8;segmentation;2100;50;210;100;6;26.05;45.2275;2533924.30598441;8773218297.27656;0.423814;0.00549542;4;52.17;105.401;3138174.91459273;79241954893.19;0.51595;0.00519259;
8;segmentation;2100;50;210;100;6;26.05;45.2275;2533924.30598441;8773218297.27656;0.423814;0.00549542;5;58.95;105.467;3511414.86707397;153738405201.567;0.544131;0.00504865;
8;segmentation;2100;50;210;100;6;26.05;45.2275;2533924.30598441;8773218297.27656;0.423814;0.00549542;6;64.61;212.438;3592656.6805156;150327143088.121;0.574643;0.00851761;
