id;nom;n;k;amax;NbRun;nbLevel;ite0_moyenne;ite0_variance;score0_moyenne;score0_variance;CPU0_moyenne;CPU0_variance;start;ite_moyenne;ite_variance;score_moyenne;score_variance;CPU_moyenne;CPU_variance;
8;segmentation;2100;30;210;100;8;26.87;59.1931;3603044.54985034;21420825364.0652;0.306358;0.00479483;6;61.19;136.314;3617293.04951546;19478279502.3576;0.398793;0.00358177;
8;segmentation;2100;30;210;100;8;26.87;59.1931;3603044.54985034;21420825364.0652;0.306358;0.00479483;7;64.06;144.176;3590398.4435186;9145356945.58953;0.395793;0.00353546;
8;segmentation;2100;30;210;100;8;26.87;59.1931;3603044.54985034;21420825364.0652;0.306358;0.00479483;8;69.11;154.978;3596430.16871272;10726199575.5576;0.422774;0.00463494;
8;segmentation;2100;40;210;100;7;26.01;64.0499;2902446.11246654;10347560650.6632;0.35741;0.00530241;0;26.01;64.0499;2902446.11246654;10347560650.6632;0.35741;0.00530241;
8;segmentation;2100;40;210;100;7;26.01;64.0499;2902446.11246654;10347560650.6632;0.35741;0.00530241;1;32.36;86.7504;2941691.42649273;15756748069.834;0.377742;0.00543864;
8;segmentation;2100;40;210;100;7;26.01;64.0499;2902446.11246654;10347560650.6632;0.35741;0.00530241;2;39.46;79.1884;2947887.38076113;12592237956.0914;0.408163;0.00404766;
8;segmentation;2100;40;210;100;7;26.01;64.0499;2902446.11246654;10347560650.6632;0.35741;0.00530241;3;46.59;98.1819;2976111.13086945;13281359023.697;0.434095;0.00401951;
8;segmentation;2100;40;210;100;7;26.01;64.0499;2902446.11246654;10347560650.6632;0.35741;0.00530241;4;49.64;94.9104;2992322.95880631;12028921961.6121;0.437075;0.00412212;
8;segmentation;2100;40;210;100;7;26.01;64.0499;2902446.11246654;10347560650.6632;0.35741;0.00530241;5;54.52;112.35;3000480.42671688;10860426055.4917;0.450096;0.00479147;
8;segmentation;2100;40;210;100;7;26.01;64.0499;2902446.11246654;10347560650.6632;0.35741;0.00530241;6;61.99;132.83;3015847.13758955;14497523480.521;0.473237;0.00437967;
8;segmentation;2100;40;210;100;7;26.01;64.0499;2902446.11246654;10347560650.6632;0.35741;0.00530241;7;63.74;128.332;3025023.61339999;15475774542.256;0.486688;0.00447738;
8;segmentation;2100;50;210;100;6;26.05;45.2275;2533924.30598441;8773218297.27656;0.422644;0.00446243;0;26.05;45.2275;2533924.30598441;8773218297.27656;0.422644;0.00446243;
8;segmentation;2100;50;210;100;6;26.05;45.2275;2533924.30598441;8773218297.27656;0.422644;0.00446243;1;33.58;68.8436;2572229.74265278;12198200068.9455;0.451666;0.00448702;
8;segmentation;2100;50;210;100;6;26.05;45.2275;2533924.30598441;8773218297.27656;0.422644;0.00446243;2;39.84;98.8944;2591408.55638359;17676613474.5747;0.478207;0.00697268;
8;segmentation;2100;50;210;100;6;26.05;45.2275;2533924.30598441;8773218297.27656;0.422644;0.00446243;3;48.31;104.714;2589449.13380095;17767709190.2883;0.51725;0.00534836;
8;segmentation;2100;50;210;100;6;26.05;45.2275;2533924.30598441;8773218297.27656;0.422644;0.00446243;4;52.17;105.401;2603833.51388094;16239006729.4297;0.513859;0.00492703;
8;segmentation;2100;50;210;100;6;26.05;45.2275;2533924.30598441;8773218297.27656;0.422644;0.00446243;5;58.95;105.467;2633725.11115463;17284700464.2314;0.540921;0.00434383;
8;segmentation;2100;50;210;100;6;26.05;45.2275;2533924.30598441;8773218297.27656;0.422644;0.00446243;6;64.61;212.438;2635457.19113914;18633042859.1727;0.572243;0.0088574;
8;segmentation;2100;60;210;100;5;28.6;53.28;2255414.80999287;12444575448.6135;0.5261;0.00911761;0;28.6;53.28;2255414.80999287;12444575448.6135;0.5261;0.00911761;
8;segmentation;2100;60;210;100;5;28.6;53.28;2255414.80999287;12444575448.6135;0.5261;0.00911761;1;33.61;51.9579;2303860.38408652;17027893740.2242;0.51833;0.0055373;
8;segmentation;2100;60;210;100;5;28.6;53.28;2255414.80999287;12444575448.6135;0.5261;0.00911761;2;43.51;114.01;2313401.97700197;24899410361.417;0.572583;0.00967795;
